id;lon;lat;label;value;x_ch;y_ch
269;10.208931;46.687106;Rothirsch;5;811884;174395
270;10.207037;46.686135;Rothirsch;4;811743;174282
271;10.209293;46.689311;Rothirsch;2;811903;174641
272;10.2061;46.688777;Rothirsch;4;811661;174573
273;10.202553;46.68465;Rothirsch;4;811406;174105
274;10.201174;46.686844;Rothirsch;4;811292;174345
275;10.200996;46.688738;Rothirsch;5;811271;174555
276;10.200583;46.685265;Rothirsch;2;811253;174168
277;10.202025;46.686346;Rothirsch;3;811359;174292
278;10.204082;46.686161;Rothirsch;2;811517;174277
279;10.204328;46.685354;Rothirsch;6;811539;174188
280;10.205799;46.686732;Rothirsch;3;811646;174345
281;10.203881;46.68325;Rothirsch;2;811513;173953
282;10.211942;46.687663;Rothirsch;5;812112;174465
283;10.21284;46.688856;Rothirsch;2;812176;174600
284;10.213957;46.688181;Rothirsch;9;812264;174528
285;10.203425;46.687887;Rothirsch;1;811460;174467
286;10.216859;46.687651;Rothirsch;8;812488;174477
287;10.209541;46.689314;Rothirsch;5;811922;174642
